geoname,Total,American Indian or Alaska Native Alone,Asian Alone,Black or African American Alone,Native Hawaiian or Other Pacific Islander Alone,White Alone,Hispanic or Latino
"State Senate District 1 (2024), Montana",18577,219,57,12,29,17483,328
"State Senate District 1 (2024), Nebraska",29488,279,73,432,0,26803,1276
"State Senate District 1 (2024), Nevada",111683,319,10122,25630,935,41544,27727
"State Senate District 1 (2024), New Hampshire",46039,68,118,571,3,43654,916
"State Senate District 1 (2024), New Jersey",172145,430,1322,20918,28,116971,28879
"State Senate District 1 (2024), New Mexico",33621,10721,215,196,10,15606,5484
"State Senate District 1 (2024), New York",242756,421,9857,9748,30,193142,25675
"State Senate District 1 (2024), North Carolina",158838,377,1087,44941,85,104635,4489
"State Senate District 1 (2024), North Dakota",11244,343,31,362,0,10083,102
"State Senate District 1 (2024), Ohio",265167,206,1257,2441,76,243690,13370
"State Senate District 1 (2024), Oklahoma",61533,10094,373,757,69,42686,1764
"State Senate District 1 (2024), Oregon",115867,1188,857,250,94,102291,5867
"State Senate District 1 (2024), Pennsylvania",187280,191,18830,17672,70,131093,14121
"State Senate District 1 (2024), Puerto Rico",316474,0,316,501,0,3441,311989
"State Senate District 1 (2024), Rhode Island",19922,0,1134,2470,162,10004,5679
"State Senate District 1 (2024), South Carolina",90325,282,922,5559,30,77651,3080
"State Senate District 1 (2024), South Dakota",19358,2602,122,34,0,15927,227
"State Senate District 1 (2024), Tennessee",159936,143,1035,5704,25,143718,5798
"State Senate District 1 (2024), Texas",680914,1641,5173,107666,413,479190,69101
"State Senate District 1 (2024), Utah",78340,282,580,195,520,68543,6764
"State Senate District 1 (2024), Virginia",166841,108,2601,8239,40,142435,9957
"State Senate District 1 (2024), West Virginia",81213,35,326,1746,90,76713,985
"State Senate District 1 (2024), Wisconsin",139827,368,2004,641,2,131388,3584
"State Senate District 1 (2024), Wyoming",15277,117,14,3,15,14192,491
"State Senate District 10 (2024), Alabama",114229,218,496,12796,17,94853,3376
"State Senate District 10 (2024), Arizona",183256,1202,3877,4917,273,143198,24521
"State Senate District 10 (2024), Arkansas",65205,117,113,13863,4,47999,1087
"State Senate District 10 (2024), California",592919,1497,277700,27340,5904,147439,113632
"State Senate District 10 (2024), Colorado",131075,330,3381,6108,172,96821,19277
"State Senate District 10 (2024), Connecticut",65879,234,1886,25402,4,21440,15071
"State Senate District 10 (2024), Delaware",33953,23,1506,8186,0,22706,1226
"State Senate District 10 (2024), Florida",409832,355,16001,45263,165,254810,84894
"State Senate District 10 (2024), Georgia",142488,211,3362,90724,8,38902,5677
"State Senate District 10 (2024), Hawaii",40908,29,21777,644,1758,8366,2418
"State Senate District 10 (2024), Idaho",44540,180,485,328,45,37692,4811
"State Senate District 10 (2024), Illinois",153308,91,10430,3235,66,102356,34572
"State Senate District 10 (2024), Indiana",97018,112,1203,16049,73,67193,9683
"State Senate District 10 (2024), Iowa",47518,130,287,1072,46,41553,3707
"State Senate District 10 (2024), Kansas",56145,9,1566,2118,10,47647,3689
"State Senate District 10 (2024), Kentucky",84117,148,1337,9439,36,65807,4078
"State Senate District 10 (2024), Louisiana",88097,128,3108,8602,74,61851,12740
"State Senate District 10 (2024), Maine",32628,62,255,84,37,31207,423
"State Senate District 10 (2024), Maryland",92593,58,3951,48003,17,33780,4401
"State Senate District 10 (2024), Michigan",201444,214,7805,86265,3,98361,3488
"State Senate District 10 (2024), Minnesota",66771,893,236,289,26,63258,957
"State Senate District 10 (2024), Mississippi",45585,52,72,15759,17,27409,922
"State Senate District 10 (2024), Missouri",140669,291,715,5702,107,128084,2859
"State Senate District 10 (2024), Montana",17106,975,125,240,1,14292,780
"State Senate District 10 (2024), Nebraska",30061,61,643,2669,0,23954,1540
"State Senate District 10 (2024), Nevada",95847,267,11492,15736,1179,39953,22312
"State Senate District 10 (2024), New Hampshire",46817,33,227,208,0,44514,935
"State Senate District 10 (2024), New Jersey",179339,81,4106,5831,47,152871,14060
"State Senate District 10 (2024), New Mexico",39428,764,757,582,27,17716,18680
"State Senate District 10 (2024), New York",220112,1112,19416,116186,2,46427,31869
"State Senate District 10 (2024), North Carolina",164721,436,1407,29922,42,115100,14516
"State Senate District 10 (2024), North Dakota",13610,2,313,1117,1,11438,242
"State Senate District 10 (2024), Ohio",266329,154,3386,16583,90,231708,6484
"State Senate District 10 (2024), Oklahoma",63392,5806,218,1145,66,47549,2872
"State Senate District 10 (2024), Oregon",105290,585,2846,1380,958,81492,14082
"State Senate District 10 (2024), Pennsylvania",207105,87,7734,9288,38,174231,10784
"State Senate District 10 (2024), Rhode Island",24040,2,163,415,2,22507,711
"State Senate District 10 (2024), South Carolina",87639,21,916,18548,5,64045,2802
"State Senate District 10 (2024), South Dakota",18061,358,395,1030,0,14962,702
"State Senate District 10 (2024), Tennessee",164155,150,3093,24355,46,126013,6190
"State Senate District 10 (2024), Texas",661136,1078,15596,110375,970,378956,139405
"State Senate District 10 (2024), Utah",63903,557,3495,1221,1812,36567,18174
"State Senate District 10 (2024), Virginia",180615,272,1583,28806,214,140056,4947
"State Senate District 10 (2024), West Virginia",84704,72,124,1915,12,80550,826
"State Senate District 10 (2024), Wisconsin",137222,104,827,950,15,130768,2596
"State Senate District 10 (2024), Wyoming",14653,6,193,111,0,13047,893
"State Senate District 11 (2024), Alabama",117489,319,600,22966,41,88490,2124
"State Senate District 11 (2024), Arizona",151770,3567,4948,26566,484,39285,73097
"State Senate District 11 (2024), Arkansas",66782,64,855,7423,0,54023,2647
"State Senate District 11 (2024), California",721150,1503,273124,35565,3027,280422,99297
"State Senate District 11 (2024), Colorado",117989,463,3114,11498,577,67949,27824
"State Senate District 11 (2024), Connecticut",70457,30,3029,11613,1,39422,14511
"State Senate District 11 (2024), Delaware",32904,6,2602,10622,27,15047,3483
"State Senate District 11 (2024), Florida",475410,871,5302,19043,193,399964,41438
"State Senate District 11 (2024), Georgia",138106,273,934,43895,11,84358,6510
"State Senate District 11 (2024), Hawaii",43512,65,21075,617,2435,9751,2526
"State Senate District 11 (2024), Idaho",34372,172,467,84,101,22423,10009
"State Senate District 11 (2024), Illinois",134231,61,3299,5313,2,53087,71739
"State Senate District 11 (2024), Indiana",95787,83,1983,5950,48,80272,4885
"State Senate District 11 (2024), Iowa",49278,19,330,396,6,46645,1165
"State Senate District 11 (2024), Kansas",53847,43,3835,1522,7,45883,1970
"State Senate District 11 (2024), Kentucky",85878,18,1428,3176,152,76679,3018
"State Senate District 11 (2024), Louisiana",86156,222,1061,5746,374,70463,6057
"State Senate District 11 (2024), Maine",32687,61,110,87,0,31321,484
"State Senate District 11 (2024), Maryland",94851,68,4335,27109,38,56548,4588
"State Senate District 11 (2024), Michigan",198008,259,4135,42159,63,142111,3966
"State Senate District 11 (2024), Minnesota",67851,1620,330,1688,23,61144,1129
"State Senate District 11 (2024), Mississippi",38217,84,76,24300,0,12599,749
"State Senate District 11 (2024), Missouri",131219,279,1399,11193,443,102122,11920
"State Senate District 11 (2024), Montana",16200,145,211,477,5,13864,895
"State Senate District 11 (2024), Nebraska",24725,119,1050,11862,0,7890,2289
"State Senate District 11 (2024), Nevada",112361,295,28351,11545,1310,47600,17145
"State Senate District 11 (2024), New Hampshire",45754,0,961,314,0,41968,1497
"State Senate District 11 (2024), New Jersey",166112,8,6355,19539,28,118916,18018
"State Senate District 11 (2024), New Mexico",30473,1178,54,883,17,3969,23968
"State Senate District 11 (2024), New York",213627,847,74514,22017,354,76113,36120
"State Senate District 11 (2024), North Carolina",159364,597,973,58600,57,87444,7821
"State Senate District 11 (2024), North Dakota",12992,100,155,693,0,11454,234
"State Senate District 11 (2024), Ohio",257629,149,2333,56794,102,173472,17918
"State Senate District 11 (2024), Oklahoma",50484,2381,325,18469,82,19577,6079
"State Senate District 11 (2024), Oregon",89939,685,1463,1021,647,60140,22864
"State Senate District 11 (2024), Pennsylvania",187534,105,2545,9878,53,122571,49252
"State Senate District 11 (2024), Rhode Island",22819,14,347,281,10,20909,882
"State Senate District 11 (2024), South Carolina",87358,117,2410,22030,10,56281,4799
"State Senate District 11 (2024), South Dakota",19461,136,181,472,0,17581,641
"State Senate District 11 (2024), Tennessee",168459,83,1838,25444,21,132774,4414
"State Senate District 11 (2024), Texas",659981,1197,38195,90399,421,352511,163892
"State Senate District 11 (2024), Utah",79504,367,1305,769,618,63156,11200
"State Senate District 11 (2024), Virginia",166572,189,5583,21060,25,129590,6386
"State Senate District 11 (2024), West Virginia",81350,53,83,1036,8,77949,788
"State Senate District 11 (2024), Wisconsin",138311,158,1035,1317,14,125235,8704
"State Senate District 11 (2024), Wyoming",13863,119,17,129,0,11350,1936
"State Senate District 12 (2024), Alabama",114636,230,753,25249,148,83241,2353
"State Senate District 12 (2024), Arizona",182716,3057,11095,9313,396,122069,30538
"State Senate District 12 (2024), Arkansas",65460,146,330,35562,7,25027,2370
"State Senate District 12 (2024), California",663604,3311,48926,25031,975,359527,205427
"State Senate District 12 (2024), Colorado",126871,360,2558,7756,393,91844,19407
"State Senate District 12 (2024), Connecticut",78366,56,2430,1263,0,69989,3168
"State Senate District 12 (2024), Delaware",38481,15,1961,10327,1,23096,2297
"State Senate District 12 (2024), Florida",425128,406,6963,62007,235,241134,106198
"State Senate District 12 (2024), Georgia",140489,246,917,83890,21,50720,2511
"State Senate District 12 (2024), Hawaii",41556,20,19824,1113,1394,11941,2249
"State Senate District 12 (2024), Idaho",43092,45,295,251,54,33384,8160
"State Senate District 12 (2024), Illinois",129462,159,17275,11815,82,22311,76155
"State Senate District 12 (2024), Indiana",88872,296,895,4848,49,69012,11921
"State Senate District 12 (2024), Iowa",47935,16,220,255,4,45065,1485
"State Senate District 12 (2024), Kansas",56025,207,146,828,43,51765,1655
"State Senate District 12 (2024), Kentucky",91364,29,1534,4459,10,81000,2532
"State Senate District 12 (2024), Louisiana",88109,266,120,18334,104,64153,2862
"State Senate District 12 (2024), Maine",32159,33,69,78,6,30746,463
"State Senate District 12 (2024), Maryland",94719,85,8654,23353,28,51974,6777
"State Senate District 12 (2024), Michigan",201549,217,1992,21159,61,167269,5110
"State Senate District 12 (2024), Minnesota",65710,358,288,383,73,62192,1674
"State Senate District 12 (2024), Mississippi",39234,93,215,26964,1,10639,501
