geoname,Total,American Indian or Alaska Native Alone,Asian Alone,Black or African American Alone,Native Hawaiian or Other Pacific Islander Alone,White Alone,Hispanic or Latino
"State Senate District 22 (2024), Arkansas",65462,193,246,804,91,61191,1635
"State Senate District 22 (2024), California",638118,1538,108372,32763,1504,112263,369197
"State Senate District 22 (2024), Colorado",131738,572,3272,1946,172,99321,23058
"State Senate District 22 (2024), Connecticut",70678,22,3756,8010,0,45437,12795
"State Senate District 22 (2024), Florida",455127,493,8160,17297,188,385616,36812
"State Senate District 22 (2024), Georgia",144163,100,2098,83557,131,47527,6806
"State Senate District 22 (2024), Hawaii",33712,81,4101,861,10734,4394,3758
"State Senate District 22 (2024), Idaho",39240,82,906,273,40,33883,3076
"State Senate District 22 (2024), Illinois",120830,236,16163,7530,0,55538,38579
"State Senate District 22 (2024), Indiana",97319,50,1355,5515,0,83433,5618
"State Senate District 22 (2024), Iowa",45554,16,1821,2279,0,39226,1559
"State Senate District 22 (2024), Kansas",57475,87,1337,3706,90,45922,4555
"State Senate District 22 (2024), Kentucky",91139,52,1260,7179,10,78002,2567
"State Senate District 22 (2024), Louisiana",92997,102,1556,23244,25,62766,3473
"State Senate District 22 (2024), Maine",32484,100,115,64,45,31010,461
"State Senate District 22 (2024), Maryland",71751,127,3153,38840,2,15463,11278
"State Senate District 22 (2024), Michigan",206386,317,1345,1783,2,194755,5034
"State Senate District 22 (2024), Minnesota",63748,113,238,548,3,59754,2317
"State Senate District 22 (2024), Mississippi",39701,41,125,23845,2,14468,1083
"State Senate District 22 (2024), Missouri",140441,148,1223,1307,48,132191,3268
"State Senate District 22 (2024), Montana",17182,451,46,33,27,15325,651
"State Senate District 22 (2024), Nebraska",26483,30,6,186,0,22603,3244
"State Senate District 22 (2024), New Hampshire",48120,95,1153,429,18,43778,1915
"State Senate District 22 (2024), New Jersey",151769,70,7071,37266,22,70672,34026
"State Senate District 22 (2024), New Mexico",36881,22513,113,240,5,6297,7151
"State Senate District 22 (2024), New York",170549,291,23824,7869,75,122970,12775
"State Senate District 22 (2024), North Carolina",140896,385,4685,48946,120,71696,10864
"State Senate District 22 (2024), North Dakota",12138,13,44,158,0,11343,329
"State Senate District 22 (2024), Ohio",280136,185,1809,9849,246,256585,5292
"State Senate District 22 (2024), Oklahoma",64722,808,3004,5833,0,46791,4304
"State Senate District 22 (2024), Oregon",112984,510,4835,10279,983,80417,10106
"State Senate District 22 (2024), Pennsylvania",189609,88,3823,8168,62,158105,15779
"State Senate District 22 (2024), Rhode Island",24254,16,394,1175,0,20657,1682
"State Senate District 22 (2024), South Carolina",82313,33,2484,38053,10,36266,3427
"State Senate District 22 (2024), South Dakota",18082,189,821,195,3,15383,1127
"State Senate District 22 (2024), Tennessee",160473,311,3566,32860,237,103781,13279
"State Senate District 22 (2024), Texas",683890,1040,20522,109579,978,407634,127653
"State Senate District 22 (2024), Utah",78183,92,1595,629,487,66432,6694
"State Senate District 22 (2024), Virginia",156842,215,13566,41434,100,81166,14121
"State Senate District 22 (2024), Wisconsin",131534,221,2121,13621,13,95278,16231
"State Senate District 22 (2024), Wyoming",16314,113,63,1,0,15309,576
"State Senate District 23 (2024), Alabama",105703,352,281,58326,5,44500,575
"State Senate District 23 (2024), Arizona",154226,7720,1964,6738,218,52175,82518
"State Senate District 23 (2024), Arkansas",70646,333,320,509,38,66516,1468
"State Senate District 23 (2024), California",666699,1676,42194,75215,1591,240841,287134
"State Senate District 23 (2024), Colorado",131006,304,3200,1185,63,105490,18449
"State Senate District 23 (2024), Connecticut",55907,227,1947,14482,4,13274,25021
"State Senate District 23 (2024), Florida",423684,409,16388,46985,361,261531,87821
"State Senate District 23 (2024), Georgia",146645,60,1094,52313,16,83543,5223
"State Senate District 23 (2024), Hawaii",53922,59,10236,3098,4017,19287,6516
"State Senate District 23 (2024), Idaho",38930,284,328,172,125,33566,3567
"State Senate District 23 (2024), Illinois",150046,12,19201,6954,19,99596,22015
"State Senate District 23 (2024), Indiana",102815,99,5249,2301,25,89243,3702
"State Senate District 23 (2024), Iowa",46464,17,632,770,4,43102,1428
"State Senate District 23 (2024), Kansas",51223,74,2101,2292,2,41498,4073
"State Senate District 23 (2024), Kentucky",93094,55,795,3590,90,83680,2268
"State Senate District 23 (2024), Louisiana",93411,89,1956,12333,0,73583,3999
"State Senate District 23 (2024), Maine",33219,13,445,233,10,31245,680
"State Senate District 23 (2024), Maryland",99638,184,2878,66439,29,20725,5826
"State Senate District 23 (2024), Michigan",206004,298,3732,8540,40,181679,7350
"State Senate District 23 (2024), Minnesota",62036,68,1844,983,97,54111,4045
"State Senate District 23 (2024), Mississippi",40235,68,198,17221,0,21561,572
"State Senate District 23 (2024), Missouri",141894,48,2770,7921,74,123424,4603
"State Senate District 23 (2024), Montana",17361,495,84,126,3,14859,1322
"State Senate District 23 (2024), Nebraska",27667,195,128,132,6,25027,1759
"State Senate District 23 (2024), New Hampshire",46980,17,456,349,0,45071,494
"State Senate District 23 (2024), New Jersey",178478,91,11206,9228,94,135553,19694
"State Senate District 23 (2024), New Mexico",38273,1893,807,963,23,15672,17893
"State Senate District 23 (2024), New York",205764,585,22553,37582,62,98788,41299
"State Senate District 23 (2024), North Carolina",160842,364,6716,26325,50,115527,7979
"State Senate District 23 (2024), North Dakota",9934,465,27,373,11,7160,1540
"State Senate District 23 (2024), Ohio",282468,167,6781,73751,47,171270,22822
"State Senate District 23 (2024), Oklahoma",67648,2659,312,1675,18,53958,5122
"State Senate District 23 (2024), Oregon",107956,517,10137,4742,374,78200,8846
"State Senate District 23 (2024), Pennsylvania",207744,194,1160,6229,17,193282,3936
"State Senate District 23 (2024), Rhode Island",23289,0,142,50,0,22558,351
"State Senate District 23 (2024), South Carolina",87632,125,1063,13098,16,67662,3861
"State Senate District 23 (2024), South Dakota",17833,588,169,151,0,16241,128
"State Senate District 23 (2024), Tennessee",167779,272,683,8331,90,149721,5381
"State Senate District 23 (2024), Texas",623033,1218,20774,266836,223,145835,174042
"State Senate District 23 (2024), Utah",76144,197,1214,542,953,61858,8935
"State Senate District 23 (2024), Virginia",162120,414,3460,82150,112,60902,8724
"State Senate District 23 (2024), Wisconsin",137434,301,512,1272,29,131171,2199
"State Senate District 23 (2024), Wyoming",13143,70,0,98,1,11844,910
"State Senate District 24 (2024), Alabama",110066,271,469,62630,0,42495,1776
"State Senate District 24 (2024), Arizona",130185,2350,3142,9795,144,39645,71798
"State Senate District 24 (2024), Arkansas",66980,386,121,1272,4,62633,1261
"State Senate District 24 (2024), California",752824,1343,115096,34098,1298,461307,107331
"State Senate District 24 (2024), Colorado",110892,478,4262,2824,186,67157,33116
"State Senate District 24 (2024), Connecticut",66331,81,2895,8114,39,42192,11597
"State Senate District 24 (2024), Florida",354604,300,7944,89930,181,161135,88641
"State Senate District 24 (2024), Georgia",148736,269,4450,28077,19,105820,6309
"State Senate District 24 (2024), Hawaii",52713,41,15409,834,3660,15943,5352
"State Senate District 24 (2024), Idaho",36369,179,61,29,16,30485,4688
"State Senate District 24 (2024), Illinois",158895,54,15018,4924,109,122008,14316
"State Senate District 24 (2024), Indiana",103240,139,2754,8376,12,85751,4034
"State Senate District 24 (2024), Iowa",49566,31,226,355,13,46313,1938
"State Senate District 24 (2024), Kansas",54235,70,790,1152,5,46703,3906
"State Senate District 24 (2024), Kentucky",93897,44,418,2553,5,88377,1434
"State Senate District 24 (2024), Louisiana",90699,124,325,47022,191,39304,1921
"State Senate District 24 (2024), Maine",31828,9,186,102,0,30177,571
"State Senate District 24 (2024), Maryland",91720,83,2397,74428,32,6104,6394
"State Senate District 24 (2024), Michigan",197907,200,3622,2693,189,181967,6543
"State Senate District 24 (2024), Minnesota",61186,44,2359,1982,0,53760,1962
"State Senate District 24 (2024), Mississippi",38892,41,33,25383,105,12448,474
"State Senate District 24 (2024), Missouri",135018,69,5393,8638,27,115383,3156
"State Senate District 24 (2024), Montana",17763,1449,104,185,3,13882,1675
"State Senate District 24 (2024), Nebraska",29427,74,89,192,17,27642,990
"State Senate District 24 (2024), New Hampshire",46548,13,869,172,69,43968,814
"State Senate District 24 (2024), New Jersey",184463,57,5557,5485,0,152270,17683
"State Senate District 24 (2024), New Mexico",35093,630,472,536,59,13645,19235
"State Senate District 24 (2024), New York",235813,163,23793,5184,8,175589,27633
"State Senate District 24 (2024), North Carolina",145181,40122,1141,42967,138,49036,7300
"State Senate District 24 (2024), North Dakota",12812,134,9,84,30,12084,216
"State Senate District 24 (2024), Ohio",288746,242,7492,17204,69,235480,22716
"State Senate District 24 (2024), Oklahoma",61313,1715,3145,2892,6,43301,6133
"State Senate District 24 (2024), Oregon",96826,598,11106,6236,499,65423,9140
"State Senate District 24 (2024), Pennsylvania",206090,50,6087,12353,51,176367,7661
"State Senate District 24 (2024), Rhode Island",19662,34,860,1305,21,13166,3577
"State Senate District 24 (2024), South Carolina",91769,120,827,21481,33,63113,4094
"State Senate District 24 (2024), South Dakota",19076,1336,67,32,0,16610,370
"State Senate District 24 (2024), Tennessee",165643,510,702,14316,120,142831,3143
"State Senate District 24 (2024), Texas",710434,1309,24048,81937,2122,417453,161089
"State Senate District 24 (2024), Utah",84099,293,1232,256,787,71660,6896
"State Senate District 24 (2024), Virginia",159057,378,6410,35911,176,98755,11916
"State Senate District 24 (2024), Wisconsin",142384,1180,1942,1868,2,131525,3464
"State Senate District 24 (2024), Wyoming",12735,153,45,14,1,11460,716
"State Senate District 25 (2024), Alabama",109277,103,2334,32155,0,71193,1336
"State Senate District 25 (2024), Arizona",192825,1865,3296,9304,171,113023,59341
"State Senate District 25 (2024), Arkansas",66054,208,334,3233,43,56045,4359
"State Senate District 25 (2024), California",695845,1537,207076,29847,1092,267536,170608
"State Senate District 25 (2024), Colorado",128860,431,6205,1761,59,91393,25624
"State Senate District 25 (2024), Connecticut",69076,17,2184,11466,2,40406,13481
"State Senate District 25 (2024), Florida",370110,187,13735,39018,375,120921,189298
"State Senate District 25 (2024), Georgia",147916,152,1324,44874,212,93209,4718
"State Senate District 25 (2024), Hawaii",41445,51,12551,119,3585,12715,2579
"State Senate District 25 (2024), Idaho",40058,121,605,208,55,33375,5040
"State Senate District 25 (2024), Illinois",137225,202,12419,8955,1,73121,40579
"State Senate District 25 (2024), Indiana",106408,137,531,6611,23,91956,3534
"State Senate District 25 (2024), Iowa",52377,61,2689,1634,70,44107,2291
"State Senate District 25 (2024), Kansas",50486,279,1908,5149,31,32820,8315
"State Senate District 25 (2024), Kentucky",91752,63,80,2289,0,87002,1205
"State Senate District 25 (2024), Louisiana",86609,226,970,16519,24,64031,2339
"State Senate District 25 (2024), Maine",30671,51,412,102,0,29033,653
"State Senate District 25 (2024), Maryland",97310,212,1146,82273,85,5932,4368
"State Senate District 25 (2024), Michigan",206518,232,695,4816,2,190980,6263
"State Senate District 25 (2024), Minnesota",63027,137,3698,4862,1,49801,3098
"State Senate District 25 (2024), Mississippi",38497,13,828,11351,29,25483,504
"State Senate District 25 (2024), Missouri",133460,174,324,8928,18,116984,2344
"State Senate District 25 (2024), Montana",16634,418,77,30,0,15090,571
"State Senate District 25 (2024), Nebraska",30985,47,691,449,0,28271,1082
"State Senate District 25 (2024), New Jersey",174836,82,7452,5656,47,130183,28413
"State Senate District 25 (2024), New Mexico",46235,989,515,323,52,32485,11069
"State Senate District 25 (2024), New York",227111,386,9730,108590,89,59805,41063
"State Senate District 25 (2024), North Carolina",162440,358,2683,29635,59,114944,11161
"State Senate District 25 (2024), North Dakota",12912,166,90,121,35,11951,314
"State Senate District 25 (2024), Ohio",245975,133,11761,41196,147,172300,12090
"State Senate District 25 (2024), Oklahoma",61765,2844,2141,3740,4,44694,4340
"State Senate District 25 (2024), Oregon",94891,614,4902,4271,431,68514,11917
"State Senate District 25 (2024), Pennsylvania",215568,244,2667,4517,50,199264,4963
"State Senate District 25 (2024), Rhode Island",22307,0,307,1015,2,18431,2077
"State Senate District 25 (2024), South Carolina",86203,65,545,21963,12,57342,4366
"State Senate District 25 (2024), South Dakota",18486,662,107,69,0,16778,301
"State Senate District 25 (2024), Tennessee",155304,293,903,34979,78,111328,3680
"State Senate District 25 (2024), Texas",703598,855,21663,30828,457,453272,179566
"State Senate District 25 (2024), Utah",74774,238,533,781,293,62386,8997
"State Senate District 25 (2024), Virginia",167590,448,2427,37387,253,113886,8087
"State Senate District 25 (2024), Wisconsin",146433,4885,572,658,17,133971,2258
"State Senate District 25 (2024), Wyoming",13692,3713,3,130,0,9095,434
"State Senate District 26 (2024), Alabama",108640,78,742,76364,34,27393,2399
"State Senate District 26 (2024), Arizona",129766,3008,4565,10354,296,41648,65111
"State Senate District 26 (2024), Arkansas",64968,272,1016,805,28,57646,3190
"State Senate District 26 (2024), California",566559,1702,105691,31728,730,142165,269725
"State Senate District 26 (2024), Colorado",120648,387,4454,7231,40,88106,16658
"State Senate District 26 (2024), Connecticut",69902,112,2725,2913,48,57250,5621
"State Senate District 26 (2024), Florida",417783,282,10685,60286,86,280851,58429
"State Senate District 26 (2024), Georgia",141274,161,1674,77469,32,55102,3731
"State Senate District 26 (2024), Idaho",36475,89,125,124,1,29572,5816
"State Senate District 26 (2024), Illinois",156972,67,13442,3040,16,126299,11410
"State Senate District 26 (2024), Indiana",108805,51,718,4523,10,97388,2738
"State Senate District 26 (2024), Iowa",44637,113,727,251,2,38022,4660
"State Senate District 26 (2024), Kansas",51902,275,1010,1155,54,44750,3410
"State Senate District 26 (2024), Kentucky",84869,123,1909,8265,13,68800,2864
"State Senate District 26 (2024), Louisiana",91670,89,747,14534,89,72122,2603
"State Senate District 26 (2024), Maine",32418,2,379,405,16,30407,651
"State Senate District 26 (2024), Maryland",99362,183,3236,76614,29,8580,7996
"State Senate District 26 (2024), Michigan",205179,303,679,6283,0,186613,7304
"State Senate District 26 (2024), Minnesota",67569,125,697,533,4,64039,1182
"State Senate District 26 (2024), Mississippi",44010,35,520,30923,0,11205,288
"State Senate District 26 (2024), Missouri",141702,175,625,1574,57,134381,2507
"State Senate District 26 (2024), Montana",16757,133,264,32,2,15699,418
"State Senate District 26 (2024), Nebraska",30622,36,509,1264,17,26004,1813
"State Senate District 26 (2024), New Jersey",169340,153,20638,4421,53,126633,14498
"State Senate District 26 (2024), New Mexico",36705,1004,515,1023,32,8520,24891
"State Senate District 26 (2024), New York",215260,255,25623,17178,49,123558,42545
"State Senate District 26 (2024), North Carolina",162109,186,2847,31024,191,117077,7143
"State Senate District 26 (2024), North Dakota",10922,208,165,261,0,9277,657
"State Senate District 26 (2024), Ohio",264990,273,1961,6761,17,240574,9479
"State Senate District 26 (2024), Oklahoma",58302,4843,354,2174,22,40990,6523
"State Senate District 26 (2024), Oregon",104700,506,1594,403,226,88119,10584
"State Senate District 26 (2024), Pennsylvania",186557,135,12626,31203,138,132054,6359
"State Senate District 26 (2024), Rhode Island",20133,1,1215,1029,0,14516,3067
"State Senate District 26 (2024), South Carolina",85159,104,1647,22306,1,55208,3564
"State Senate District 26 (2024), South Dakota",15389,7312,103,64,24,7130,259
"State Senate District 26 (2024), Tennessee",171391,255,535,27300,72,135657,2996
"State Senate District 26 (2024), Texas",642039,1248,13572,51992,587,162713,398554
"State Senate District 26 (2024), Utah",78070,5296,345,298,351,63660,6590
"State Senate District 26 (2024), Virginia",174311,213,2417,17353,111,143758,5700
"State Senate District 26 (2024), Wisconsin",142335,201,6207,7304,26,115689,7689
"State Senate District 26 (2024), Wyoming",15356,860,66,60,1,12793,937
"State Senate District 27 (2024), Alabama",116009,146,2124,24688,58,83934,2748
"State Senate District 27 (2024), Arizona",179868,2099,6033,7263,193,119200,38698
"State Senate District 27 (2024), Arkansas",58918,519,3014,4962,0,40223,6641
"State Senate District 27 (2024), California",724760,1181,78099,35452,806,436280,147672
"State Senate District 27 (2024), Colorado",120322,299,9125,9669,156,83745,13061
"State Senate District 27 (2024), Connecticut",71026,78,4477,15763,1,35140,14168
"State Senate District 27 (2024), Florida",437547,404,5999,34932,145,324183,64339
"State Senate District 27 (2024), Georgia",133510,81,8284,6296,23,104710,10626
"State Senate District 27 (2024), Idaho",34094,334,90,89,0,25437,7508
"State Senate District 27 (2024), Illinois",140003,51,12824,4351,50,104076,16677
"State Senate District 27 (2024), Indiana",104229,50,606,3150,3,96476,1640
"State Senate District 27 (2024), Iowa",48138,764,311,344,0,44502,1553
"State Senate District 27 (2024), Kansas",52087,130,1172,1668,2,42986,4634
"State Senate District 27 (2024), Kentucky",96222,67,518,5911,0,85592,2359
"State Senate District 27 (2024), Louisiana",82320,118,619,22112,21,55757,2463
"State Senate District 27 (2024), Maine",28802,10,944,647,2,25983,496
"State Senate District 27 (2024), Maryland",103890,137,2004,40117,38,52613,4752
"State Senate District 27 (2024), Michigan",196269,577,2148,53753,43,127267,7339
"State Senate District 27 (2024), Minnesota",64149,153,679,306,3,60681,1329
"State Senate District 27 (2024), Mississippi",42475,38,140,28894,13,12491,393
"State Senate District 27 (2024), Missouri",137188,185,587,6714,59,123231,2575
"State Senate District 27 (2024), Montana",16126,333,75,35,0,14647,557
"State Senate District 27 (2024), Nebraska",30121,109,963,1529,35,24062,2523
"State Senate District 27 (2024), New Jersey",162887,40,17994,18676,18,90701,31535
"State Senate District 27 (2024), New Mexico",37873,142,482,562,68,20667,15073
"State Senate District 27 (2024), New York",228386,335,45634,14558,64,126458,36091
"State Senate District 27 (2024), North Carolina",155400,239,6228,42103,5,94011,8337
"State Senate District 27 (2024), North Dakota",12989,49,60,333,0,11906,457
"State Senate District 27 (2024), Ohio",290959,236,5968,17341,28,257688,4373
"State Senate District 27 (2024), Oklahoma",53781,1144,244,989,13,41996,7645
"State Senate District 27 (2024), Oregon",115059,380,1022,325,189,101613,7768
"State Senate District 27 (2024), Pennsylvania",208761,37,1802,3793,207,194190,6573
"State Senate District 27 (2024), Rhode Island",24151,126,618,1188,76,18997,2825
"State Senate District 27 (2024), South Carolina",90323,141,219,22995,0,63363,2055
"State Senate District 27 (2024), South Dakota",15418,9907,16,35,1,5046,215
"State Senate District 27 (2024), Tennessee",159332,88,4650,6292,0,138996,5907
"State Senate District 27 (2024), Texas",551762,614,3804,8247,263,104555,430567
"State Senate District 27 (2024), Utah",86177,717,500,424,244,78061,4615
"State Senate District 27 (2024), Virginia",155592,186,4684,31008,12,97470,15572
"State Senate District 27 (2024), Wisconsin",136452,265,6283,4655,22,115004,6846
"State Senate District 27 (2024), Wyoming",13554,20,114,70,3,12170,910
"State Senate District 28 (2024), Alabama",111996,195,513,58708,22,47193,3139
"State Senate District 28 (2024), Arizona",185361,811,5250,4309,165,155490,15315
"State Senate District 28 (2024), Arkansas",64477,366,485,170,52,58740,2647
"State Senate District 28 (2024), California",603663,801,56684,149284,1156,167710,205086
"State Senate District 28 (2024), Colorado",100990,267,5551,18138,309,43804,27793
"State Senate District 28 (2024), Connecticut",77999,22,3352,1636,0,67679,4452
"State Senate District 28 (2024), Florida",410400,701,5402,28174,173,284914,85535
"State Senate District 28 (2024), Georgia",140525,129,2917,79455,189,41634,12732
"State Senate District 28 (2024), Idaho",37378,947,204,111,67,31544,3674
"State Senate District 28 (2024), Illinois",138679,81,20141,5444,17,92802,17631
"State Senate District 28 (2024), Indiana",104898,43,950,10326,23,88604,3179
"State Senate District 28 (2024), Iowa",45781,45,196,260,41,42759,2004
"State Senate District 28 (2024), Kansas",51947,176,2232,3073,17,37129,6579
"State Senate District 28 (2024), Kentucky",90785,144,1036,6631,0,77803,2807
"State Senate District 28 (2024), Louisiana",84048,471,596,19266,0,59196,2163
"State Senate District 28 (2024), Maine",31759,30,883,1518,11,27836,974
"State Senate District 28 (2024), Maryland",103023,298,2805,51539,94,38283,5256
"State Senate District 28 (2024), Michigan",202002,291,5600,7009,0,173777,9388
"State Senate District 28 (2024), Minnesota",66297,259,1082,338,16,62191,1325
"State Senate District 28 (2024), Mississippi",39212,85,141,33498,1,4652,302
"State Senate District 28 (2024), Missouri",143317,247,440,1571,81,133508,3945
"State Senate District 28 (2024), Montana",17936,62,28,27,19,16792,497
"State Senate District 28 (2024), Nebraska",29997,72,1022,1324,1,24989,1736
"State Senate District 28 (2024), New Jersey",144647,359,2782,98945,6,23508,16474
"State Senate District 28 (2024), New Mexico",36984,254,239,435,20,16250,19112
"State Senate District 28 (2024), New York",222504,161,22068,8066,74,171043,17359
"State Senate District 28 (2024), North Carolina",152836,335,6319,78778,1,54135,8972
"State Senate District 28 (2024), North Dakota",13164,98,49,90,0,12417,302
"State Senate District 28 (2024), Ohio",271302,185,6939,42855,13,205885,5875
"State Senate District 28 (2024), Oklahoma",62335,5280,243,1455,26,49073,2268
"State Senate District 28 (2024), Oregon",109396,1544,554,706,138,93066,9113
"State Senate District 28 (2024), Pennsylvania",204960,104,2340,7049,102,182658,8398
"State Senate District 28 (2024), Rhode Island",22334,3,1061,1524,0,14166,5192
"State Senate District 28 (2024), South Carolina",93356,202,1108,9954,177,77516,3167
"State Senate District 28 (2024), South Dakota",18627,5078,30,30,14,12523,371
"State Senate District 28 (2024), Tennessee",164716,178,1163,12673,1,139721,6737
"State Senate District 28 (2024), Texas",669665,1439,7950,39379,414,409177,197666
"State Senate District 28 (2024), Utah",87997,759,776,410,373,76259,7842
"State Senate District 28 (2024), Virginia",162312,229,2496,16936,95,128885,9707
"State Senate District 28 (2024), Wisconsin",138380,148,2891,2171,11,123753,7438
"State Senate District 28 (2024), Wyoming",14464,76,125,142,1,12533,1144
"State Senate District 29 (2024), Alabama",109657,215,961,18953,46,83248,3739
"State Senate District 29 (2024), Arizona",189217,1725,4262,10435,578,124726,40684
"State Senate District 29 (2024), Arkansas",64576,509,884,775,43,56612,3241
"State Senate District 29 (2024), California",595032,1767,40265,64228,2077,132872,340574
"State Senate District 29 (2024), Colorado",108817,418,5501,17865,188,60216,20674
"State Senate District 29 (2024), Connecticut",82214,24,2535,3208,25,65595,8645
"State Senate District 29 (2024), Florida",435759,1232,6098,54598,69,303888,62082
"State Senate District 29 (2024), Georgia",144099,136,2507,40100,17,91566,6435
"State Senate District 29 (2024), Idaho",39970,511,235,448,125,34213,3315
"State Senate District 29 (2024), Illinois",153396,175,13010,4572,75,118931,14162
"State Senate District 29 (2024), Indiana",94022,23,5443,14915,10,66101,5169
"State Senate District 29 (2024), Iowa",48686,50,416,411,9,46402,824
"State Senate District 29 (2024), Kansas",49471,324,1240,10611,20,26155,8587
"State Senate District 29 (2024), Kentucky",92612,117,208,1267,19,89284,488
"State Senate District 29 (2024), Louisiana",88786,275,340,48930,45,35155,1771
"State Senate District 29 (2024), Maine",30438,44,683,449,0,27869,804
"State Senate District 29 (2024), Maryland",103341,107,2007,15132,4,77567,5416
"State Senate District 29 (2024), Michigan",183100,264,5223,28760,3,121900,20579
"State Senate District 29 (2024), Minnesota",64350,146,697,214,2,60805,1539
"State Senate District 29 (2024), Mississippi",41331,128,190,24240,0,15510,589
"State Senate District 29 (2024), Missouri",139214,509,1003,727,186,127285,5814
"State Senate District 29 (2024), Montana",18686,109,59,35,10,17507,469
"State Senate District 29 (2024), Nebraska",29980,92,477,425,0,26602,1558
"State Senate District 29 (2024), New Jersey",121978,167,4588,44175,99,21777,48965
"State Senate District 29 (2024), New Mexico",39746,1075,88,488,1,15075,22081
"State Senate District 29 (2024), New York",203012,384,10133,57509,629,30643,100012
"State Senate District 29 (2024), North Carolina",161870,925,1047,31910,16,114598,9524
"State Senate District 29 (2024), North Dakota",12501,59,26,25,5,12084,148
"State Senate District 29 (2024), Ohio",273817,215,1835,19422,56,238858,5992
"State Senate District 29 (2024), Oklahoma",62057,6060,724,1164,10,46110,2576
"State Senate District 29 (2024), Oregon",99243,3263,591,784,303,77833,13173
"State Senate District 29 (2024), Pennsylvania",204168,45,796,4839,21,177109,18765
"State Senate District 29 (2024), Rhode Island",22514,3,894,729,0,19347,991
"State Senate District 29 (2024), South Carolina",85641,740,467,39462,0,41549,1383
"State Senate District 29 (2024), South Dakota",19839,309,100,425,13,17271,952
"State Senate District 29 (2024), Tennessee",148399,138,1344,106589,0,34574,3312
"State Senate District 29 (2024), Texas",588117,1703,6561,20577,673,88321,463077
"State Senate District 29 (2024), Utah",86871,377,918,225,374,76546,6154
"State Senate District 29 (2024), Virginia",141401,131,12792,31548,160,64217,26356
"State Senate District 29 (2024), Wisconsin",136533,256,4607,687,25,126042,2307
"State Senate District 29 (2024), Wyoming",14009,71,25,77,0,12320,1105
"State Senate District 3 (2024), Alabama",113462,463,1255,18107,10,85256,5272
"State Senate District 3 (2024), Arizona",190721,764,5977,2611,88,166105,10784
"State Senate District 3 (2024), Arkansas",63071,111,248,17319,37,42066,1876
"State Senate District 3 (2024), California",736194,2108,93079,60857,4212,364781,176884
"State Senate District 3 (2024), Colorado",128424,662,763,2577,76,73388,48531
"State Senate District 3 (2024), Connecticut",71615,46,3727,9560,22,42174,14448
"State Senate District 3 (2024), Delaware",32411,70,279,15202,15,11320,4246
"State Senate District 3 (2024), Florida",431656,728,6322,115823,260,270801,26826
"State Senate District 3 (2024), Georgia",149617,242,1408,31388,13,104942,7578
"State Senate District 3 (2024), Hawaii",38183,159,5882,329,2992,18889,2996
"State Senate District 3 (2024), Idaho",44900,131,283,92,13,41790,1457
"State Senate District 3 (2024), Illinois",153290,182,9270,80943,11,40292,18768
"State Senate District 3 (2024), Indiana",97769,85,430,48095,35,35106,12374
"State Senate District 3 (2024), Iowa",44322,125,797,543,213,39059,3255
"State Senate District 3 (2024), Kansas",56197,205,513,1437,13,49844,2743
"State Senate District 3 (2024), Kentucky",84231,90,806,10725,152,65739,3716
"State Senate District 3 (2024), Louisiana",88306,262,3723,49176,19,28377,4476
"State Senate District 3 (2024), Maine",32096,49,37,118,3,31142,269
"State Senate District 3 (2024), Maryland",92279,127,5752,15491,15,57996,10049
"State Senate District 3 (2024), Michigan",194507,506,14275,85401,36,85282,3549
"State Senate District 3 (2024), Minnesota",68298,1252,323,341,5,64080,904
"State Senate District 3 (2024), Mississippi",44218,117,59,10905,2,31021,1137
"State Senate District 3 (2024), Missouri",138597,224,458,2703,26,130529,1782
"State Senate District 3 (2024), Montana",16509,176,112,46,0,15379,467
"State Senate District 3 (2024), Nebraska",28512,43,653,1261,1,22104,3548
"State Senate District 3 (2024), Nevada",95947,296,6002,14711,460,41496,28907
"State Senate District 3 (2024), New Hampshire",48822,144,452,279,0,46766,704
"State Senate District 3 (2024), New Jersey",182183,232,4245,19607,128,142569,12179
"State Senate District 3 (2024), New Mexico",33791,25135,162,128,18,3898,3886
"State Senate District 3 (2024), New York",241277,474,8152,16898,24,176978,34634
"State Senate District 3 (2024), North Carolina",155105,221,1883,40159,93,101939,7320
"State Senate District 3 (2024), North Dakota",11623,231,110,284,1,10018,560
"State Senate District 3 (2024), Ohio",271289,329,3486,40939,80,209584,7771
"State Senate District 3 (2024), Oklahoma",64728,10014,501,1327,35,44398,2357
"State Senate District 3 (2024), Oregon",109840,418,1202,699,111,91996,11029
"State Senate District 3 (2024), Pennsylvania",188336,251,10047,104090,0,36449,32168
"State Senate District 3 (2024), Puerto Rico",338584,0,69,180,1,1891,335922
"State Senate District 3 (2024), Rhode Island",22336,85,2335,1133,0,16410,1478
"State Senate District 3 (2024), South Carolina",94327,564,883,7832,0,79996,2380
"State Senate District 3 (2024), South Dakota",19702,574,484,62,27,17487,718
"State Senate District 3 (2024), Tennessee",169436,93,1320,5198,34,154748,4093
"State Senate District 3 (2024), Texas",704017,2175,7576,113261,427,479206,83341
"State Senate District 3 (2024), Utah",79914,226,1105,562,154,65983,10333
"State Senate District 3 (2024), Virginia",169946,240,1728,11119,75,148846,3959
"State Senate District 3 (2024), West Virginia",82398,81,307,683,90,79036,881
"State Senate District 3 (2024), Wisconsin",104223,548,3956,8976,18,50770,37290
"State Senate District 3 (2024), Wyoming",15586,202,0,99,23,13865,1030
