geoname,Total,American Indian or Alaska Native Alone,Asian Alone,Black or African American Alone,Native Hawaiian or Other Pacific Islander Alone,White Alone,Hispanic or Latino,American Indian or Alaska Native Alone %,Asian Alone %,Black or African American Alone %,Native Hawaiian or Other Pacific Islander Alone %,White Alone %,Hispanic or Latino %
"State Senate District 13 (2024), Missouri",136183,74,668,90644,21,38846,1741,0.05,0.49,66.56,0.02,28.52,1.28
"State Senate District 13 (2024), Montana",17462,424,101,46,0,15894,396,2.43,0.58,0.26,0.0,91.02,2.27
"State Senate District 13 (2024), Nebraska",27616,32,1373,7408,36,16147,1783,0.12,4.97,26.83,0.13,58.47,6.46
"State Senate District 13 (2024), Nevada",97006,810,5511,3667,685,57948,24885,0.83,5.68,3.78,0.71,59.74,25.65
"State Senate District 13 (2024), New Hampshire",43942,30,2021,984,0,34823,5194,0.07,4.6,2.24,0.0,79.25,11.82
"State Senate District 13 (2024), New Jersey",175582,41,11549,5204,30,142868,13349,0.02,6.58,2.96,0.02,81.37,7.6
"State Senate District 13 (2024), New Mexico",35917,1021,729,969,0,15294,16817,2.84,2.03,2.7,0.0,42.58,46.82
"State Senate District 13 (2024), New York",137506,152,33576,14706,169,20131,66687,0.11,24.42,10.69,0.12,14.64,48.5
"State Senate District 13 (2024), North Carolina",146493,396,4703,19676,56,109445,9253,0.27,3.21,13.43,0.04,74.71,6.32
"State Senate District 13 (2024), North Dakota",13375,150,85,434,16,12109,408,1.12,0.64,3.24,0.12,90.53,3.05
"State Senate District 13 (2024), Ohio",284076,258,2342,17351,18,232354,24890,0.09,0.82,6.11,0.01,81.79,8.76
"State Senate District 13 (2024), Oklahoma",62192,7813,295,1601,43,44546,3026,12.56,0.47,2.57,0.07,71.63,4.87
"State Senate District 13 (2024), Oregon",105682,347,6209,1581,343,82609,10035,0.33,5.88,1.5,0.32,78.17,9.5
"State Senate District 13 (2024), Pennsylvania",194411,68,3748,9371,38,153086,25009,0.03,1.93,4.82,0.02,78.74,12.86
"State Senate District 13 (2024), Rhode Island",22881,75,231,1016,74,19129,1541,0.33,1.01,4.44,0.32,83.6,6.73
"State Senate District 13 (2024), South Carolina",89417,117,1345,13888,69,67998,3027,0.13,1.5,15.53,0.08,76.05,3.39
